"Date(year,month,day)",Airline,FlightID,OriginAirport,DestinationAirport,ScheduledDepartureTime,ActualDepartureTime,DepartureDelay,ScheduledArrTime,ActualArrTime,FlightStatus,distance,air_time
11-12-2025,Vistara,FL9084,PNQ,MAA,09:45:00,09:45:00,0,21:11:00,21:11:00,On Time,1701,2126
27-04-2025,IndiGo,FL6353,CCU,PNQ,20:00:00,20:00:00,0,14:33:00,14:33:00,On Time,2043,2553
13-07-2025,Akasa Air,FL4413,MAA,GOI,07:00:00,07:47:00,47,06:10:00,06:57:00,Delayed,1112,1390
17-03-2025,Vistara,FL2353,PNQ,BOM,00:45:00,00:45:00,0,13:07:00,13:07:00,On Time,1528,2182
06-11-2025,SpiceJet,FL6058,BLR,HYD,16:00:00,16:00:00,0,03:16:00,03:16:00,On Time,541,676
22-07-2025,Akasa Air,FL2899,CCU,MAA,13:15:00,13:15:00,0,05:18:00,05:18:00,On Time,771,963
27-04-2025,SpiceJet,FL3770,DEL,HYD,14:45:00,14:45:00,0,17:12:00,17:12:00,On Time,2119,3027
03-10-2025,SpiceJet,FL7469,AMD,DEL,10:30:00,,,09:15:00,,Cancelled,956,1365
03-12-2025,Akasa Air,FL4241,CCU,BLR,19:00:00,20:03:00,63,07:18:00,08:21:00,Delayed,517,738
17-11-2025,Air India,FL4127,DEL,HYD,04:45:00,06:02:00,77,07:09:00,08:26:00,Delayed,1109,1584
07-09-2025,IndiGo,FL4196,BOM,PNQ,15:00:00,15:00:00,0,10:14:00,10:14:00,On Time,1816,2594
28-03-2025,Akasa Air,FL2858,BOM,BLR,15:30:00,15:30:00,0,16:01:00,16:01:00,On Time,2038,2911
03-09-2025,Akasa Air,FL1729,HYD,DEL,01:15:00,01:15:00,0,21:27:00,21:27:00,On Time,1857,2652
12-09-2025,SpiceJet,FL3070,BLR,HYD,02:45:00,02:45:00,0,17:19:00,17:19:00,On Time,1620,2314
30-10-2025,Vistara,FL4733,AMD,BLR,20:30:00,20:30:00,0,13:20:00,13:20:00,On Time,808,1010
13-01-2025,SpiceJet,FL4801,DEL,GOI,20:15:00,20:15:00,0,23:50:00,23:50:00,On Time,1490,1655
13-07-2025,Vistara,FL9400,DEL,BLR,16:30:00,16:30:00,0,05:57:00,05:57:00,On Time,1798,2247
19-09-2025,SpiceJet,FL1920,PNQ,GOI,13:15:00,13:15:00,0,01:32:00,01:32:00,On Time,1742,2177
20-11-2025,IndiGo,FL3949,MAA,BLR,23:30:00,23:30:00,0,11:14:00,11:14:00,On Time,634,704
08-12-2025,IndiGo,FL6028,GOI,MAA,14:15:00,14:15:00,0,00:23:00,00:23:00,On Time,1639,2048
19-03-2025,SpiceJet,FL8495,GOI,PNQ,10:00:00,10:00:00,0,17:57:00,17:57:00,On Time,1342,1917
24-05-2025,Air India,FL4416,DEL,AMD,14:30:00,14:30:00,0,12:01:00,12:01:00,On Time,1162,1291
20-06-2025,Air India,FL4290,HYD,BLR,14:00:00,14:00:00,0,15:25:00,15:25:00,On Time,1220,1525
14-08-2025,IndiGo,FL9954,PNQ,MAA,09:15:00,09:15:00,0,20:06:00,20:06:00,On Time,1882,2091
18-06-2025,Air India,FL5234,PNQ,BOM,13:15:00,13:15:00,0,09:32:00,09:32:00,On Time,1096,1217
26-03-2025,Akasa Air,FL5176,DEL,MAA,00:15:00,00:15:00,0,08:25:00,08:25:00,On Time,392,490
11-04-2025,Vistara,FL6216,MAA,AMD,15:30:00,16:57:00,87,22:48:00,00:15:00,Delayed,1315,1878
08-08-2025,SpiceJet,FL6678,AMD,BOM,06:45:00,06:45:00,0,01:52:00,01:52:00,On Time,803,1147
19-03-2025,Air India,FL2269,CCU,PNQ,00:45:00,03:35:00,170,14:32:00,17:22:00,Delayed,1814,2267
28-03-2025,Air India,FL3506,DEL,AMD,07:30:00,07:30:00,0,09:58:00,09:58:00,On Time,1112,1588
30-01-2025,Vistara,FL8763,CCU,HYD,15:00:00,17:21:00,141,19:42:00,22:03:00,Delayed,1378,1722
09-12-2025,Vistara,FL6796,BLR,GOI,22:30:00,22:30:00,0,01:35:00,01:35:00,On Time,2146,3065
03-10-2025,Air India,FL1001,CCU,PNQ,06:45:00,06:45:00,0,03:50:00,03:50:00,On Time,1139,1265
