date,airport_code,temperature,visibility,wind_speed,rain,fog,storm
10-06-2025,COK,17.1,3.1,26.2,0,1,0
31-03-2025,DEL,32.9,8.4,9.4,1,1,1
27-05-2025,DEL,31.1,8.4,23.1,1,1,0
20-06-2025,BLR,34.9,3.4,20.2,0,0,0
01-05-2025,BLR,40.7,6.9,33.2,1,0,1
07-01-2025,COK,38.1,2.3,7.3,0,1,0
30-06-2025,CCU,19.8,5.9,17.2,1,1,1
29-06-2025,MAA,17.9,8.1,33.9,1,0,0
22-10-2025,DEL,14.8,6.4,17.8,1,1,0
13-02-2025,GOI,12.7,5.5,21.4,0,0,0
23-02-2025,PNQ,18,1.4,31.3,1,1,0
20-11-2025,MAA,21.5,4.5,22.9,0,0,1
25-07-2025,COK,12.5,7.8,25.6,1,1,0
28-06-2025,MAA,12.1,7.4,1,0,1,1
09-06-2025,GOI,22.5,2.9,22.3,0,1,0
06-05-2025,MAA,21.7,4.2,18.7,0,0,0
25-06-2025,CCU,38.9,5.8,13.4,1,1,1
05-09-2025,PNQ,19.4,8,16.4,1,1,0
20-02-2025,BOM,16.6,8.2,5.8,0,1,0
11-12-2025,MAA,34.7,2,26.5,0,0,0
16-02-2025,DEL,24.2,8.8,17.1,1,1,0
11-09-2025,AMD,32.7,5.5,14.9,0,0,0
13-05-2025,AMD,41.4,3.2,1.6,1,0,1
14-05-2025,BOM,26.1,5.8,10.9,0,0,0
16-05-2025,GOI,24.9,5.7,15.3,1,0,1
29-06-2025,GOI,17,6.3,27.5,0,0,0
05-03-2025,DEL,19.3,7.3,32.5,0,0,0
11-08-2025,BOM,30,9.2,6.7,0,0,1
04-01-2025,CCU,30.7,9.9,24,1,1,1
12-08-2025,DEL,28.7,2,0.6,0,1,0
25-10-2025,BOM,12.6,7.3,31.9,1,0,1
20-01-2025,BOM,36.4,1.1,3.2,0,1,1
27-02-2025,PNQ,29.1,8.2,10.9,0,1,1
16-05-2025,GOI,23.7,7.3,23.9,0,0,0
01-04-2025,CCU,22.1,1.7,23.8,1,0,0
22-09-2025,AMD,39.2,4.2,1.3,0,0,1
24-07-2025,BLR,17.2,1.6,19.8,1,0,1
03-11-2025,BOM,19.1,3.4,13.6,0,0,1
17-03-2025,BOM,40.8,6.3,22.1,0,0,0
24-06-2025,DEL,28.5,7.9,3.1,1,1,0
28-12-2025,COK,28.5,2.1,15,0,0,1
19-08-2025,DEL,20.9,2.6,4,1,1,0
06-07-2025,COK,15.4,8.9,20.9,0,1,1
12-02-2025,PNQ,20.1,7.5,0.4,0,0,0
10-10-2025,COK,10.2,8.4,19.8,1,1,0
02-09-2025,GOI,20.2,3.4,17.7,1,1,0
13-01-2025,COK,15.8,3,17.5,1,0,0
25-07-2025,HYD,35.9,7.1,34,1,0,1
18-11-2025,PNQ,34.2,7.5,33.8,0,0,0
04-03-2025,BLR,34.9,1.8,22.2,1,1,0
15-11-2025,DEL,28,5.3,31,1,0,0
09-05-2025,AMD,28.7,8.4,11.4,1,0,1
15-05-2025,PNQ,38.5,9.9,26.6,0,0,0
17-09-2025,HYD,17.9,5.8,27.4,0,0,0
19-12-2025,MAA,26.9,4.6,9.2,0,1,1
15-02-2025,CCU,27.9,1.5,6.2,0,1,0
08-08-2025,BOM,13.4,5.3,18.8,1,1,0
04-12-2025,PNQ,28.5,5.6,23.8,0,1,1
04-04-2025,BOM,12.1,4.2,18.3,1,1,0
13-06-2025,DEL,39.3,9.2,20.8,0,1,1
22-02-2025,AMD,20.7,3.5,29.6,0,1,0
11-10-2025,GOI,15.7,6.2,17.1,1,0,1
17-04-2025,AMD,30.5,3.5,29.4,0,0,1
01-11-2025,BOM,14.8,7.1,32.8,0,1,1
07-06-2025,HYD,22.3,3,7.1,1,0,1
13-06-2025,HYD,28.3,1.3,23.2,1,0,0
22-02-2025,MAA,21.3,6.4,7.9,1,1,0
19-11-2025,PNQ,37.8,4.2,31,0,0,1
19-12-2025,DEL,21,1.9,17.7,0,1,0
02-05-2025,HYD,30.9,1.7,4.2,1,1,0
26-09-2025,AMD,18.3,2,19.9,1,1,1
29-06-2025,BOM,33.6,5.5,4.9,1,0,0
24-05-2025,BOM,16.3,3.6,34.7,0,1,1
14-06-2025,AMD,13.8,5.7,17.6,1,0,0
21-06-2025,DEL,25,2.1,10,1,0,0
09-04-2025,BOM,19.4,6.1,9.7,1,0,1
09-05-2025,GOI,32,5.6,33.4,0,0,0
29-12-2025,HYD,20.6,6.5,26.1,0,1,1
11-07-2025,DEL,18.5,9.1,5.6,1,1,0
08-01-2025,BLR,41.8,3.4,6.5,0,1,1
17-10-2025,HYD,11.2,9.6,2.8,0,1,1
30-09-2025,HYD,18.9,7.1,11.5,0,0,0
29-11-2025,COK,10.8,1.8,18.1,0,1,0
03-03-2025,PNQ,20,8.5,10.7,0,1,0
30-09-2025,DEL,26.2,6.7,5.1,1,1,1
05-08-2025,CCU,25.7,5,8.3,1,0,1
14-02-2025,BLR,40.2,8.6,13,0,1,0
03-11-2025,MAA,35.3,1.3,27.4,1,0,0
15-06-2025,AMD,39.2,9.8,25.2,1,0,0
05-01-2025,BLR,18.6,5,18,1,0,0
30-11-2025,GOI,36.6,7.8,18.5,0,1,1
28-01-2025,GOI,26.1,6.7,31.6,1,0,0
27-08-2025,BOM,15.9,1.5,13.6,1,0,1
03-06-2025,MAA,11.4,7.2,8.8,0,1,1
25-02-2025,DEL,27.5,3.7,12.6,1,1,1
19-11-2025,BLR,19.6,2.8,26.6,1,1,0
08-12-2025,COK,26.1,4.4,0.8,1,0,0
19-01-2025,BOM,32.6,5.2,22.9,0,1,1
22-07-2025,BOM,26.9,9,27.2,1,1,1
06-07-2025,CCU,37.1,1.8,21.7,0,1,1
07-11-2025,COK,34.5,1.2,28.4,1,1,0
01-01-2025,CCU,30.8,1.7,25.5,1,1,0
18-10-2025,HYD,37.1,8.7,21.5,0,1,0
31-12-2025,DEL,22.6,5.8,23.7,0,0,1
07-07-2025,PNQ,41.4,6.8,6.4,1,0,1
30-11-2025,BLR,25.5,6.2,6,0,1,1
28-03-2025,MAA,35.2,8.9,8.6,1,0,0
09-01-2025,BOM,31.3,1.3,1.7,0,0,0
01-01-2025,CCU,26.2,3.2,25.9,0,1,1
26-03-2025,PNQ,36.1,2.2,2,1,0,0
21-08-2025,PNQ,10.2,8.9,30.8,0,0,1
16-01-2025,PNQ,27.4,1.9,17.1,0,1,0
04-11-2025,MAA,22.3,3.2,4.8,0,0,1
23-11-2025,MAA,38.4,1,10.9,1,1,1
28-12-2025,BOM,28.4,7.5,20.7,0,0,0
29-04-2025,GOI,39.8,9.7,22.2,1,1,0
03-08-2025,DEL,10.8,1.2,14.3,0,1,1
20-02-2025,PNQ,14,3.6,25.3,0,0,0
13-06-2025,CCU,16.3,9.7,8.7,1,1,1
24-02-2025,AMD,19.5,9.5,31,1,0,0
03-05-2025,MAA,34,1.1,27.9,0,0,1
21-07-2025,COK,22.9,1.4,26.4,0,1,0
07-01-2025,HYD,26.9,5.1,14.1,0,1,0
14-09-2025,BLR,36.5,9.7,34,1,0,1
22-02-2025,COK,25.2,5.7,12.2,0,0,1
22-07-2025,HYD,40.7,4.3,9.2,0,0,1
13-02-2025,AMD,13.1,4.3,10.2,0,0,1
14-07-2025,COK,40.8,6.4,15.6,1,0,1
31-12-2025,GOI,31.1,9.7,10.6,1,1,0
12-06-2025,GOI,25.9,2.7,4.9,1,0,1
07-10-2025,GOI,40.8,3.7,21.8,1,0,0
22-12-2025,DEL,10.5,8.8,13.6,0,1,1
07-09-2025,MAA,10.4,5.7,22.2,1,0,1
13-10-2025,GOI,16.8,8.1,19.9,0,1,0
08-07-2025,PNQ,10.6,2.2,27.2,1,1,1
01-05-2025,BLR,36.1,7,0.3,1,0,1
09-01-2025,HYD,39.9,7.4,21.9,1,0,1
30-08-2025,HYD,25.2,8.1,18.4,0,1,0
16-09-2025,CCU,23.4,2.2,25.8,0,1,0
05-04-2025,BOM,23.4,6,25.1,1,0,1
02-12-2025,PNQ,20.2,2.8,32.1,1,0,0
11-07-2025,CCU,35.2,5.1,26.6,0,0,0
27-11-2025,CCU,27.5,1.4,24,0,1,1
18-02-2025,PNQ,32.8,8.5,32,0,0,1
05-07-2025,BLR,41.6,6.2,9.1,0,0,0
12-12-2025,CCU,32.3,9.9,21.4,0,0,0
27-12-2025,COK,22.5,3,7.5,1,0,1
11-05-2025,BOM,20.4,6.4,19.4,1,1,0
09-07-2025,MAA,13.1,6.1,29.3,0,1,1
07-09-2025,GOI,26,8.5,23.3,1,0,0
16-04-2025,MAA,28.6,9.9,6.9,0,1,1
29-12-2025,PNQ,23.6,4.2,17.2,1,1,0
03-08-2025,CCU,10.5,4.6,15.1,0,0,0
01-03-2025,DEL,10.9,5.1,16.8,1,1,0
22-07-2025,PNQ,20.9,7.1,25.8,1,0,0
17-01-2025,BLR,22.9,9.1,0.5,0,0,0
31-12-2025,CCU,21.9,7,29.8,1,1,0
28-01-2025,COK,28.9,3,10.3,0,1,0
05-05-2025,CCU,38.8,6.3,26.5,0,0,1
07-03-2025,CCU,29.6,7.5,15.1,1,1,1
04-07-2025,DEL,12.5,2.8,30.3,1,0,0
30-10-2025,BOM,39.7,3.4,24.4,1,1,1
07-05-2025,PNQ,21.5,3.3,32.4,1,1,1
08-10-2025,GOI,28.1,6.4,23.5,1,1,0
22-08-2025,BLR,28.2,2.2,8.6,1,1,0
24-07-2025,GOI,27.3,3.3,23.5,1,0,0
